Code,Theme,Subtheme,count
Action,Administrative Support,Administrative Support,2
Action,Core Values,Civic Engagement & Discourse,1
Action,Core Values,College Affordabilty,8
Action,Core Values,Inclusion & Diversity,8
Action,Miscellaneous,Miscellaneous,4
Action,Outreach,Community Outreach,3
Action,Outreach,Globalization,5
Action,Outreach,Partners in Regional Development,4
Action,Outreach,Public Policy,3
Action,Recognition,Recognition of Accomplishments,1
Action,Scholarly & Creative Activity,Grants,1
Action,Scholarly & Creative Activity,Research Excellence,2
Action,Teaching & Learning,Clinically based Experiential Education,1
Action,Teaching & Learning,Instructional Innovation,14
Action,Teaching & Learning,Interdisciplinary Programming,3
Action,Teaching & Learning,Professional Preparation,5
Action/Outcome,Outreach,Globalization,1
Action/Outcome,Outreach,Rural Education Focus,1
Action/Outcome,Student Retention & Success,Student Enrollment,1
Goal,Administrative Support,Administrative Support,12
Goal,Core Values,Civic Engagement & Discourse,4
Goal,Core Values,College Affordabilty,7
Goal,Core Values,Environmental Sustainability,2
Goal,Core Values,Inclusion & Diversity,7
Goal,Miscellaneous,Miscellaneous,2
Goal,Outreach,Alumni Outreach,1
Goal,Outreach,Community Outreach,11
Goal,Outreach,Globalization,9
Goal,Outreach,Partners in Regional Development,1
Goal,Outreach,Public Policy,6
Goal,Outreach,Rural Education Focus,2
Goal,Recognition,Best Practices,9
Goal,Recognition,Recognition of Accomplishments,25
Goal,Scholarly & Creative Activity,Endowment,1
Goal,Scholarly & Creative Activity,Grants,5
Goal,Scholarly & Creative Activity,Research Excellence,11
Goal,Student Retention & Success,Crisis Reduction,1
Goal,Student Retention & Success,Graduation Rates,1
Goal,Student Retention & Success,Student Enrollment,2
Goal,Student Retention & Success,Student Job Placement,3
Goal,Student Retention and Success,Crisis Reduction,1
Goal,Teaching & Learning,Clinically based Experiential Education,8
Goal,Teaching & Learning,Instructional Innovation,21
Goal,Teaching & Learning,Interdisciplinary Programming,4
Goal,Teaching & Learning,Miscellaneous,2
Goal,Teaching & Learning,Professional Preparation,5
Goal,Teaching & Learning,Transformative Learning,1
Outcome,Administrative Support,Administrative Support,3
Outcome,Core Values,Civic Engagement & Discourse,6
Outcome,Core Values,College Affordabilty,3
Outcome,Core Values,Environmental Sustainability,1
Outcome,Core Values,Inclusion & Diversity,11
Outcome,Miscellaneous,Miscellaneous,1
Outcome,Outreach,Community Outreach,8
Outcome,Outreach,Globalization,4
Outcome,Outreach,Partners in Regional Development,8
Outcome,Outreach,Public Policy,3
Outcome,Outreach,Rural Education Focus,1
Outcome,Recognition,Best Practices,1
Outcome,Recognition,Recognition of Accomplishments,13
Outcome,Scholarly & Creative Activity,Grants,7
Outcome,Scholarly & Creative Activity,Research Excellence,6
Outcome,Student Retention & Success,Crisis Reduction,1
Outcome,Student Retention & Success,Student Enrollment,4
Outcome,Student Retention and Success,Student Enrollment,4
Outcome,Teaching & Learning,Clinically based Experiential Education,4
Outcome,Teaching & Learning,Instructional Innovation,22
Outcome,Teaching & Learning,Interdisciplinary Programming,4
Outcome,Teaching & Learning,Miscellaneous,3
Outcome,Teaching & Learning,Professional Preparation,1
Outcome,Teaching & Learning,Transformative Learning,3
Vision,Core Values,Civic Engagement & Discourse,4
Vision,Core Values,Inclusion & Diversity,12
Vision,Core Values,Leadership,1
Vision,Miscellaneous,Miscellaneous,2
Vision,Outreach,Community Outreach,2
Vision,Outreach,Globalization,5
Vision,Outreach,Partners in Regional Development,1
Vision,Outreach,Public Policy,1
Vision,Recognition,Best Practices,2
Vision,Recognition,Recognition of Accomplishments,2
Vision,Teaching & Learning,Clinically based Experiential Education,2
Vision,Teaching & Learning,Evidence-Based Practices,1
Vision,Teaching & Learning,Instructional Innovation,2
Vision,Teaching & Learning,Interdisciplinary Programming,4
Vision,Teaching & Learning,Professional Preparation,5
Vision,Teaching & Learning,Transformative Learning,7
Vision/Goal,Core Values,Inclusion & Diversity,1
Vision/Goal,Recognition,Recognition of Accomplishments,1
Vision/Goal,Teaching & Learning,Professional Preparation,1
Vision/Goal,Teaching & Learning,Transformative Learning,1
